Month,Asian Civilisations Museum,National Museum Of Singapore,Singapore Art Museum,Singapore Philatelic Museum,Peranakan Museum,Science Centre Singapore,Jurong Birdpark,Night Safari,River Wonders,Singapore Zoological Gardens,Chinese/Japanese Gardens,Sun Yat Sen Nanyang Memorial Hall,Indian Heritage Centre,Malay Heritage Centre
2015-03,26,56.3,67.2,7.8,36,75.5,53,80.4,53.7,127.9,86.8,3.7,na,36.1
2015-04,25.1,89,72.9,8.4,33.2,78.9,62,78.8,56.1,133.3,96.9,5.6,na,33.3
2015-05,23.3,84,82.7,9,38.3,87.6,83.3,101.2,73.3,153.1,85.8,7.7,43.4,37.6
2015-06,24.5,76,95.6,10.3,36.8,75.9,78,93.9,87.1,190.1,87.4,10.3,23.9,38.2
2015-07,30,56.2,83.3,13.8,39.8,94.2,77.8,127.1,82.8,184.5,86.7,7.5,23.8,47.2
2015-08,45.9,108.9,143.5,41.1,93.5,191.4,91.9,137.3,119.7,223.3,74.2,6.6,23.3,59.2
2015-09,19.7,45.4,58.5,9.1,32.5,67.3,44.3,80.7,56.3,115.8,64.1,10.8,36.4,33.9
2015-10,39.5,50.7,64.8,11.2,33.1,69,54.7,87.2,54.7,106.2,53.7,6.7,21.3,43.1
2015-11,39.7,50.9,55.1,10,32.6,78.9,66.6,74.6,59.4,125.8,70,8.8,14,44.3
2015-12,23.7,60.1,45.5,16,33,100.1,73.6,97,90.3,187.4,83.1,6.4,9,51
2016-01,34.8,60.7,47.2,11.3,29.3,64.1,66.7,97.5,54.2,134.9,105.2,6.2,11.5,34.7
2016-02,38.3,50.4,34.7,10.9,25.3,76.8,61.5,91.4,57.6,153.7,121.6,10.8,13,31.8
2016-03,68.9,50.8,38.8,11.3,43.2,81.6,56.8,91,60.6,144.2,122.8,8.4,11.3,49.9
2016-04,46.3,60.3,35.8,10.3,28.3,66.5,57.8,81.7,54.4,128,160.2,4.1,11.2,35.9
2016-05,45,76.9,75.5,9.5,29.9,73.7,82.3,101,67.5,149.2,74.8,8.9,10.7,43.9
2016-06,32.7,89,83.7,10.4,27.2,83,67.8,99.3,73.8,144.5,68,4.6,10.1,43.4
2016-07,40.7,55.2,69.7,9.8,37.5,87.4,78.8,130,89.5,183.8,81.4,6.2,16.3,55
2016-08,42.5,93.9,128,30.2,122.9,86.3,76.4,132.8,95.8,188.9,183.6,5.5,12.7,50.4
2016-09,50.8,62.7,34.3,7.8,42.3,57.9,48,75,55.1,119,107.3,28,12.4,37.8
2016-10,53.6,56.7,55.9,8.2,41.4,69,56.5,85.4,75.6,134.9,172.3,15.9,15.8,41.6
2016-11,40.4,56.2,68,21.2,39.9,95,47.9,67.4,56.9,117.4,49.6,22.8,12.1,40.7
2016-12,40.3,64.6,61.2,19.3,41.2,114.5,71.6,98,101.9,198.5,67.8,11.8,9,43.1
2017-01,52.2,65.7,61.5,12.4,41.2,78.7,64.5,103.8,73.1,161.9,78.7,15.5,12.7,49.3
2017-02,40.5,69.5,67.4,10.7,40.5,70.4,52.7,92.5,60.8,133.1,88.2,11.3,12.2,57.3
2017-03,37.4,60.7,24.6,14.6,59.5,80.1,50.7,92.6,70.4,145.5,71.6,8,14.9,59.7
2017-04,42.5,49.2,11.5,13.9,38,59.2,78.3,99.9,74.6,156.6,68.7,8.5,12.5,50.6
2017-05,49.9,58.3,38.7,11.4,38.9,63.5,89,109.7,78.8,148.2,71.4,13.8,15.8,48.9
2017-06,48,64.1,37.6,15.2,39.1,81.5,77.4,112.6,87.3,160.2,92.8,5.1,11.6,70
2017-07,43.4,72.4,30.7,12,39.3,94.6,75.7,130,91.9,187.5,86.6,6.3,13.9,73.3
2017-08,41.3,190.1,69.2,22.4,72.3,88.6,76.1,139.8,110.8,200.9,83.3,7.7,17.4,60.2
2017-09,28.9,60.8,12,8.6,27,51.5,59.5,88.6,64.9,134.1,85.8,10.5,17.5,48.2
2017-10,36.9,83.3,21.8,8.7,26.8,69.2,67.1,103.5,77.5,152.1,76.7,13.6,24.5,68.9
2017-11,33.2,60.8,20,9.3,25.6,55.9,57,75.3,60.4,116.3,68.9,14,9.5,57.5
2017-12,34.4,66.6,19.7,8.5,24.9,81.5,79.2,113.5,102,195.4,52.1,7.7,14,53.8
2018-01,41.9,70.2,29.5,6.7,15,57.6,62.8,103.5,67.5,137.8,42.6,13,21,59.4
2018-02,36.9,74.6,21.9,10.3,15.9,77.7,62,114.4,71.8,163.1,53.4,33,12.2,65.7
2018-03,46.4,80.3,23.8,8.5,18.7,65.7,65,109.6,74.9,158.8,47.9,16.9,15.6,61.6
2018-04,45.6,67.4,13.4,8.9,19.9,49,66,98.3,71.4,153,58.2,15.7,17.4,53
2018-05,48.8,80.2,29.1,9,16.2,68.7,82.8,112.4,76.6,149.5,52.9,14.3,13.5,59.2
2018-06,44.1,82.9,32.6,12.2,15.6,78,71.7,114.2,83.4,167.7,68.5,20.8,16.2,79.7
2018-07,46.7,86.5,28.4,12.1,18.5,97.6,68.6,141.1,93.5,247.7,44.7,10.6,22.3,69.9
2018-08,42.3,131.8,62.6,31.8,38.4,97.2,70.4,156,105.4,245.5,53.7,13.3,16.7,67.7
2018-09,37.3,68.9,5.7,11.2,14.4,69.7,49.2,86.7,74.4,159.7,54.6,35.6,19.6,50.6
2018-10,49.7,79.5,12.2,11.1,14.6,68.1,59.9,96.2,75,158.4,56.3,14.6,30.7,53.8
2018-11,43.7,68.4,10.8,11.5,13.6,63.3,58.9,87.4,65.5,144.5,59.5,18,23.9,58.5
2018-12,41.4,68.9,10.8,10.9,12.5,70.5,71.9,109.6,98.9,223.4,66.9,8,12,49.7
2019-01,52,74.6,7.3,10.2,15.1,71.4,56.5,110.5,70.5,148.8,56.9,17.4,27.3,69.8
2019-02,55.2,82.9,1.1,12,14.7,66.7,55.8,113,81.2,184.4,65.2,25.7,13.8,63
2019-03,65.9,85.6,0,10,29.8,88.5,57.4,96.4,71.1,149.6,67.8,12.6,22.9,66.7
2019-04,48.5,72.1,0,0,0,63.4,65.1,101.9,74.4,155.4,86,12.6,17.5,54.4
2019-05,47.4,66.6,0,0,0,73.8,70.3,111,75,145.1,133.2,12.3,15.2,81
2019-06,58.1,116.3,0,0,0,108.4,73,115.9,85.8,181.7,0,22.8,18.8,55.9
2019-07,65,133.6,0,0,0,129.1,60.9,141.1,89.8,217.3,0,14.3,18.8,78
2019-08,64,186.6,0,0,0,125,69.1,158.3,108.1,250.4,0,26.4,16.7,70
2019-09,63.7,69.2,0,0,0,96.3,147.7,83.2,64.1,146.4,0,28.2,13.7,40.4
2019-10,56,81.7,0,0,0,77,59.9,99.2,82,164,0,13.9,34.1,65.3
2019-11,50.5,64.4,0,0,0,59.8,51.5,81.4,65.9,132.2,0,20.9,22.8,58.5
2019-12,44,65.7,0,0,0,68.2,64.3,106.2,93.9,192.4,0,12.3,14.4,58.4
2020-01,45.9,73.4,0,0,0,65.3,58.3,112.3,75,170.7,0,28.9,25.7,66.4
2020-02,28.9,42.3,0,0,0,31.5,16.6,42.7,23.7,49.5,0,23.3,7.3,38.8
2020-03,14.8,31.9,0,0,0,18.8,12.7,23.8,30.1,64.4,0,5.8,5.5,8
2020-04,0,0,0,0,0,1.9,0.7,1,1.5,3.6,0,0,0,0
2020-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07,10,28.6,0,0,0,6.3,17.9,2.4,32.1,67.7,0,5.2,1.7,2.4
2020-08,12.8,31.6,0,0,0,10.5,24.4,21.8,39,77.6,0,7.1,2.3,3.2
2020-09,12,19.7,0,0,0,19.3,23.4,20.8,64.7,92.3,0,10.4,2.3,3.4
2020-10,13.9,28.6,0,0,0,11.6,26.8,28.8,61.7,100.2,0,12.7,2.8,4.7
2020-11,17.8,84.3,0,0,0,21.3,24.1,25.1,60.6,87.8,0,6.2,3.4,6.5
2020-12,23.1,84.4,0,0,0,56.6,39.7,64.4,119.7,169.2,0,9.4,2.5,10.9
2021-01,19.4,22.9,0,0,0,15.4,90.3,22.4,41,54.7,0,13,8,7
2021-02,17.9,21.5,0,0,0,9.7,18.8,21.7,42.2,67.2,0,20.4,4.4,8
2021-03,23,32,0,0,0,21.3,26.6,46.4,77.2,115.1,0,9.7,9.4,12.7
2021-04,21.1,27.2,0,0,0,16,19.1,27.8,47.7,64.1,0,7.6,9.4,9.5
2021-05,15.3,21.8,0,0,0,7.8,12.3,16.2,31.3,44.9,0,6.2,3.2,6.8
2021-06,11.4,20.5,0,0,0,14.1,16.8,21.9,42.5,65,0,7.7,2.1,4.5
2021-07,15.8,24.7,0,0,0,15.6,12.5,19.3,35.9,77.4,0,7.9,2.6,6.7
2021-08,15.7,27.2,0,0,0,11.6,13.1,16.2,37.5,67.8,0,6.5,2.4,4.5
2021-09,17.8,25.7,0,0,0,22.5,16.6,21.7,50.4,90.8,0,31.1,2.9,4.9
2021-10,14.4,24.6,0,0,0,14.3,11.9,18.9,40.5,64.5,0,5.8,4.5,5.2
2021-11,15.2,30,0,0,0,24.6,15.2,19,47,70.6,0,7.8,3,7.5
2021-12,20.1,56.3,0,0,0,63.4,37.6,48.2,96.8,147.8,0,8.8,3.1,10
2022-01,18.8,31.7,0,0,0,21.5,14.7,24.4,56.6,73.2,0,3.3,7.1,9.1
2022-02,14.4,36,0,0,0,16.5,12.7,18.9,48.1,65.8,0,5.2,2.5,6.6
2022-03,17.1,43.9,0,0,0,32.8,18.2,29.5,63.4,85.1,0,1.9,3.7,9.4
2022-04,19.3,36.7,0,0,0,29.1,18.1,29.9,52.8,66.2,0,1.9,5.1,17.1
2022-05,23.6,51.8,0,0,0,38.8,20,40.3,67.7,92.6,0,3.7,8.5,23.3
2022-06,30,84.5,0,0,0,64.1,29.2,54.6,76.7,105.5,0,3.2,7.3,21
2022-07,31.9,84.2,0,0,0,32.5,23.3,59.1,65.5,101.2,0,3.4,10.6,25.5
2022-08,31.9,100.4,0,0,0,25.6,17.8,52.7,63.8,88.8,0,6,9.3,25.2
2022-09,32.4,62.8,0,0,0,35.3,24,52.2,60.7,94,0,12.2,11.6,22.8
2022-10,39.1,82.2,0,0,0,33.9,28.4,56.9,60.4,110.8,0,3.9,32.6,36.6
2022-11,32.7,73,0,0,0,29.8,44.3,44.9,57.4,88.1,0,2.8,9.9,0
2022-12,27.1,72.5,0,0,0,49.7,108.5,70.8,79.6,131.1,0,2.7,6.1,0
